Question No,Question,Option A,Option B,Option C,Option D,Answer,Tag
61,Injecting malicious DB queries via input fields is called?,Structured query manipulation,Database command injection,SQL injection attack,Backend query exploitation,C,Web + Cyber
62,Malicious script executed via website input is called?,Client-side script injection,Cross-site scripting attack,Browser-based code injection,Dynamic script exploitation,B,Web + Cyber
63,Password + OTP login method is known as?,Dual verification process,Multi-factor authentication,Two-step login validation,Layered identity verification,B,Web + Cyber
64,Using banking app on public Wi-Fi risk?,Network traffic interception,Man-in-the-middle attack,Data packet sniffing,Open network exploitation,B,Web + Cyber
65,Why banking apps block rooted/jailbroken devices?,Compromised system integrity,Reduced OS security layers,Elevated unauthorized access,Bypassed protection mechanisms,A,Web + Cyber
66,What does DevOps stand for?,Device operations process,Development and operations,Developer option settings,Data optimization methods,B,Web + DevOps
67,Is DevOps a tool?,Automation tool system,Culture and practices,Hardware infrastructure model,Programming language type,B,Web + DevOps
68,What happens in CI?,Malware scanning process,Code merge and test,Team communication flow,Code access restriction,B,Web + DevOps
69,Traditional vs DevOps difference?,Individual vs automation,Separate vs collaborative teams,Old vs modern storage,Hardware vs software focus,B,Web + DevOps
70,Why continuous monitoring needed?,User behavior tracking,Performance issue detection,Developer activity monitoring,Testing process removal,B,Web + DevOps
71,"A company stores customer orders in a single large table with repeated customer name, address and phone number for every order. What problem does this cause?",The table becomes too large for any database to handle,Queries will always return duplicate rows regardless of filters applied,Data redundancy leads to inconsistencies when customer details change,The database engine cannot index tables with repeated values,C,DBMS
72,A bank transfers ₹5000 from Account A to Account B. The system deducts from A but crashes before adding to B. Which database property was violated?,Consistency — the data no longer follows business rules after the operation,Atomicity — the transaction did not complete fully or roll back fully,Isolation — another transaction interfered during the transfer process,Durability — the committed changes were lost after the system restarted,B,DBMS
73,Two tables — Orders and Customers — are linked via CustomerID. A developer deletes a customer from the Customers table but their orders still exist in the Orders table. What concept should have prevented this?,Primary key constraint on the Orders table,A unique index on the CustomerID column,Foreign key constraint enforcing referential integrity,A NOT NULL constraint on the CustomerID field,C,DBMS
74,"A database query that used to return results in 0.2 seconds now takes 45 seconds after the table grew from 10,000 to 10 million rows. What is the most likely fix?",Increase the database server's RAM to hold the full table in memory,Split the table into smaller tables and query them separately,Add an index on the column being searched to avoid full table scans,Switch from SQL to a NoSQL database for better performance at scale,C,DBMS
75,"A student table has a column called ""age"" which currently stores values like ""twenty"", ""21"", and NULL across different rows. Which database concept was not enforced during data entry?",Referential integrity linking age to a valid range table,Domain constraint ensuring the column only accepts valid consistent data types,Entity integrity requiring every row to have a unique identifier,Normalization rules preventing non-numeric values in numeric columns,B,DBMS
